;TeamNr;;;;;;;;;;;;;;;;;;;;;
651;10;1;3;1;0;0;1;3;30;40;30;0;2;25;40;8;8;8;0;0;7;8
570;10;1;3;1;0;0;1;3;10;14;9;0;5;8;14;7;9;8;0;6;9;8
643;10;;;;;;;;;;;;;;;;;;;;;
632;10;;;;;;;;;;;;;;;;;;;;;
658;10;;;;;;;;;;;;;;;;;;;;;
567;10;1;3;1;0;0;1;3;10;16;12;0;0;8;12;8;9;8;0;0;8;8
;;617;599;595;568;657;;;617;599;595;568;657;;;617;599;595;568;657;;
617;11;3;1;3;0;0;;;11;6;12;4;4;;;7;6;7;4;4;;
599;11;1;0;3;3;0;;;12;10;15;8;5;;;5;5;6;5;4;;
595;11;1;3;3;0;0;;;18;16;19;15;10;;;8;7;8;7;4;;
568;11;3;0;3;1;0;;;15;14;16;14;8;;;10;9;9;9;7;;
657;11;1;0;3;0;3;;;6;7;9;5;7;;;8;8;9;7;8;;
;;270;587;607;559;450;563;580;270;587;607;559;450;563;580;270;587;607;559;450;563;580
270;12;1;0;3;0;1;3;1;12;6;11;10;9;10;8;8;7;8;8;8;8;7
587;12;1;1;3;0;0;3;1;10;12;10;11;8;11;13;8;8;8;7;7;8;8
607;12;1;1;3;0;0;1;3;30;20;30;20;20;30;40;10;9;10;9;9;10;10
559;12;0;1;3;1;0;1;3;11;12;15;14;13;13;15;8;7;9;9;8;9;9
450;12;0;1;3;0;1;1;3;3;10;10;8;10;7;12;4;8;8;7;7;6;9
563;12;0;3;1;0;1;1;3;11;12;11;11;11;11;12;8;8;8;8;8;8;9
580;12;0;1;3;0;1;1;3;15;15;18;15;18;18;24;7;7;8;7;9;8;8
;;590;646;552;582;664;622;262;590;646;552;582;664;622;262;590;646;552;582;664;622;262
590;13;1;1;1;3;0;3;0;10;8;5;7;2;8;5;8;7;7;10;6;8;6
646;13;3;1;1;1;0;3;0;;;;;;;;8;7;7;7;4;8;6
552;13;0;1;0;1;3;1;3;7;5;6;7;2;5;3;8;7;8;8;4;7;6
582;13;1;0;1;3;0;3;1;5;4;5;6;3;7;4;9;6;7;7;5;9;6
664;13;;;;;;;;;;;;;;;;;;;;;
622;13;3;1;1;3;0;1;0;12;8;7;10;3;10;4;9;7;6;8;5;7;5
262;13;1;0;1;3;0;3;1;10;7;8;11;6;12;9;6;6;6;6;6;7;6
;;251;541;638;636;549;652;;251;541;638;636;549;652;;251;541;638;636;549;652;
251;14;3;1;1;0;3;0;;8;7;5;6;9;4;;7;7;6;7;8;6;
541;14;3;1;1;0;3;0;;20;15;15;15;20;0;;8;6;7;5;8;0;
638;14;;;;;;;;;;;;;;;;;;;;;
636;14;3;1;1;0;3;0;;20;15;10;15;20;0;;8;6;7;6;8;0;
549;14;3;1;1;0;3;0;;5;1;2;0;9;0;;7;7;5;0;7;0;
652;14;;;;;;;;;;;;;;;;;;;;;
;;585;608;538;609;264;596;639;585;608;538;609;264;596;639;585;608;538;609;264;596;639
585;15;3;3;1;1;0;1;0;14;14;9;9;6;14;9;9;9;9;9;4;9;6
608;15;3;1;1;0;0;1;3;8;7;6;6;5;8;6;7;7;7;7;2;8;6
538;15;1;3;1;0;1;0;3;7;8;7;7;6;8;7;8;9;8;8;8;8;9
