;;619;609;577;580;;;619;609;577;580;;;619;609;577;580;;
619;1;0;0;3;3;;;7;6;10;8;;;8;7;8;8;;
609;1;3;0;3;0;;;7;3;7;5;;;7;7;8;8;;
577;1;3;0;3;0;;;9;4;10;4;;;8;8;8;8;;
580;1;0;0;3;3;;;9;8;10;8;;;;;;;;
;;593;596;582;;;;593;596;582;;;;593;596;582;;;
593;2;0;3;3;;;;4;4;4;;;;8;8;8;;;
596;2;3;0;3;;;;8;7;9;;;;8;8;9;;;
582;2;3;3;0;;;;9;11;8;;;;9;9;8;;;
;;590;621;578;;;;590;621;578;;;;590;621;578;;;
590;3;0;3;3;;;;4;7;3;;;;9;9;9;;;
621;3;0;3;3;;;;7;11;10;;;;7;7;8;;;
578;3;0;3;3;;;;10;20;15;;;;10;10;10;;;
;;592;598;330;603;572;601;592;598;330;603;572;601;592;598;330;603;572;601
592;4;1;0;3;0;1;3;6;4;8;4;6;8;8;6;10;6;8;9
598;4;1;1;3;0;0;3;16;18;20;16;16;20;8;9;10;7;8;10
330;4;1;1;3;0;0;3;5;3;8;3;3;8;8;6;8;6;8;8
603;4;1;0;3;0;1;3;8;6;15;5;8;15;7;7;9;7;8;8
572;4;1;1;3;0;0;3;6;6;9;6;6;7;8;8;8;8;8;8
601;4;3;1;3;0;0;1;8;7;10;4;6;7;9;8;10;5;6;8
;;571;557;608;595;581;588;571;557;608;595;581;588;571;557;608;595;581;588
571;5;1;0;0;3;1;3;10;4;7;10;10;11;9;6;7;9;8;9
557;5;3;1;1;3;0;0;12;11;10;13;9;7;8;9;8;9;8;9
608;5;3;0;1;3;0;1;4;2;3;4;2;3;8;6;6;7;5;6
595;5;3;0;0;1;1;3;20;20;20;20;20;20;9;8;7;8;7;7
581;5;3;0;0;3;1;1;8;6;4;8;6;7;8;7;7;8;7;7
588;5;3;0;1;3;0;1;5;5;5;5;5;5;8;7;7;8;7;8
;;617;562;566;591;573;563;617;562;566;591;573;563;617;562;566;591;573;563
617;6;1;0;3;3;0;1;5;2;5;5;1;3;9;5;9;9;5;7
562;6;0;1;3;1;0;3;3;8;9;6;4;11;6;7;8;7;7;9
566;6;0;1;3;1;0;3;8;8;15;12;5;18;6;6;8;8;4;8
591;6;;;;;;;;;;;;;;;;;;
573;6;0;0;1;3;1;3;4;5;8;6;6;8;8;9;9;9;10;10
563;6;0;1,5;2;1;0,5;3;8;10;12;10;10;12;7;8;9;8;8;8
;;568;602;605;554;623;589;568;602;605;554;623;589;568;602;605;554;623;589
568;7;1;0;0;1;3;3;12;10;11;10;14;14;10;10;10;10;10;10
602;7;0;1;0;1;3;3;1;2;0;2;2;2;10;10;7;10;10;10
605;7;0;1;1;0;3;3;7;8;8;9;10;10;10;10;10;10;10;10
554;7;1;0;0;1;3;3;6;6;5;7;10;10;8;8;7;8;10;10
623;7;0;1;0;1;3;3;4;10;1;4;15;15;6;8;1;8;8;8
589;7;0;1;0;1;3;3;5;4;3;6;8;5;5;7;5;6;7;8
;;574;551;606;618;597;644;574;551;606;618;597;644;574;551;606;618;597;644
574;8;1;0;0;1;3;3;4;3;3;3;4;3;8;7;7;8;8;8
551;8;3;1;0;1;0;3;3;3;1;3;3;3;9;8;7;8;9;9
606;8;3;3;1;0;0;1;20;16;16;15;15;16;10;10;10;10;10;10
618;8;3;1;0;1;3;0;13;12;12;12;13;12;7;7;7;7;7;7
597;8;3;1;0;0;3;1;3;;;;3;;8;6;6;6;8;6
644;8;1;0;0;3;3;1;10;7;7;9;10;9;;;;;;
;;545;620;569;611;553;594;545;620;569;611;553;594;545;620;569;611;553;594
545;9;3;1;0;0;1;3;8;3;2;3;7;8;9;7;6;7;8;9
620;9;0;1;0;1;3;3;5;5;5;5;5;6;10;10;10;10;10;10
569;9;1;0;3;1;0;3;4;3;4;4;3;4;9;7;9;9;8;10
611;9;0;0;1;1;3;3;4;4;4;4;5;7;6;6;6;6;7;7
553;9;1;0;0;1;3;3;8;6;6;8;8;10;8;8;8;8;8;8
594;9;Default;;;;;;;;;;;;;;;;;
;;585;586;547;542;600;559;585;586;547;542;600;559;585;586;547;542;600;559
585;10;1;0;3;3;0;1;4;2;4;7;1;4;9;7;9;9;4;9
586;10;1;1;3;3;0;0;4;3;4;4;1;2;8;9;9;8;5;7
547;10;1;1;3;3;0;0;3;4;4;5;3;2;9;9;9;10;7;9
542;10;1;1;3;3;0;0;7;7;16;7;2;2;9;9;10;8;3;5
600;10;1;3;1;0;3;0;20;20;20;20;15;20;10;10;10;10;10;10
559;10;0;1;3;1;0;3;5;11;14;12;2;12;7;9;10;9;1;10
;;561;607;576;610;539;536;561;607;576;610;539;536;561;607;576;610;539;536
561;11;1;3;3;0;1;0;4;5;5;4;4;4;6;7;5;6;6;6
607;11;0;1;3;1;0;3;12;15;18;12;10;23;7;8;8;7;7;8
576;11;3;1;0;0;1;3;6;4;3;2;5;7;7;8;7;6;7;9
